hotel_name,hotel_desc,address,review_score,review_title,reviews
Platinum Adisucipto Hotel & Conference Center,"Platinum Adisucipto Hotel & Conference Center is located across the Adisucipto Airport, in the Yogyakarta Province Region. Guests can enjoy the on-site bar, as well as a spa centre and fitness centre....","Yogyakarta


Show on map",8.7,Fabulous,272 reviews
Puri Artha Hotel,"Boasting beautiful tropical gardens and an outdoor swimming pool is Puri Artha Hotel. Centrally located in Yogyakarta, it offers spacious rooms and massage services 4.5 km from the Sultan Palace.","Gondokusuman, Yogyakarta


Show on map",8.3,Very good,199 reviews
Griya Sentana Hotel,"Griya Sentana Hotel is located in Yogyakarta, within 6 minutes' drive from Tugu and Lempuyangan Railway Stations. Offering free Wi-Fi, it has free parking and a 24-hour front desk.","Jetis, Yogyakarta


Show on map",8.8,Fabulous,11 reviews
The Cube Hotel,"The Cube Hotel enjoys a strategic location in the heart of Yogyakarta, a 5-minute stroll from the Sultan Palace.","Prawirotaman, Yogyakarta


Show on map",7.6,Good,53 reviews
Fernasya House,"Set in Yogyakarta, 3.3 km from Malioboro Mall, Fernasya House offers accommodation with an outdoor swimming pool, free WiFi, a shared kitchen, and a shared lounge.","Yogyakarta


Show on map",9.1,Superb,10 reviews
Grand Tjokro Yogyakarta,"Grand Tjokro Yogyakarta offers modern accommodation with an outdoor pool, restaurant and a 24-hour front desk. Its elegant rooms overlook the city and feature a private bathroom.","Catur Tunggal, Yogyakarta


Show on map",7.4,Good,83 reviews
OYO 1309 Hotel Shafira,"Located in Yogyakarta and with Malioboro Mall reachable within 1.6 km, OYO 1309 Hotel Shafira provides express check-in and check-out, non-smoking rooms, a shared lounge, free WiFi throughout the...","Gedongtengen, Yogyakarta


Show on map",7.1,Good,57 reviews
Gita Benara,"In a prime location in the Mantrijeron district of Yogyakarta, Gita Benara is set 2.5 km from Museum Sonobudoyo, 2.7 km from Scientific Park and 2.8 km from Sultan's Palace.","Mantrijeron, Yogyakarta


Show on map",8.4,Very good,96 reviews
Villa Anantya Private Pool,"Located just 8 km from Tugu Monument, Villa Anantya Private Pool provides accommodation in Yogyakarta with access to an outdoor swimming pool, a shared lounge, as well as a shared kitchen.","Yogyakarta


Show on map",8.9,Fabulous,8 reviews
RedDoorz Plus @ Taman Siswa 2,"Situated in Yogyakarta, 1.7 km from Scientific Park, RedDoorz Plus @ Taman Siswa 2 features accommodation with free WiFi and free private parking.","Mergangsan, Yogyakarta


Show on map",7.9,Good,74 reviews
Platinum Adisucipto Hotel & Conference Center,"Platinum Adisucipto Hotel & Conference Center is located across the Adisucipto Airport, in the Yogyakarta Province Region. Guests can enjoy the on-site bar, as well as a spa centre and fitness centre....","Yogyakarta


Show on map",8.7,Fabulous,272 reviews
Omah Qu Guesthouse Malioboro,Omah Qu Guesthouse Malioboro strategically located at the centre of Yogyakarta with only less than 5 minutes from Malioboro Street and Sultan Palace.,"Pakualaman, Yogyakarta


Show on map",8.4,Very good,79 reviews
Student Park Hotel,"Located just 500 metres from Ambarrukmo Plaza, Student Park Hotel offers homely apartments with cosy kitchens. It has a rooftop pool and a fitness centre. Free WiFi access is available in all areas.","Catur Tunggal, Yogyakarta


Show on map",8.0,Very good,99 reviews
UMAH D'KALI private villa for 2 to 12 guests,"UMAH D'KALI private villa for 2 to 12 guests offers vllas with air conditioning, free WiFi and a TV, all a 10-minute drive from the centre of Yogyakarta.","Yogyakarta


Show on map",9.3,Superb,6 reviews
Hotel Savitri Country,"Located in Kaliurang, Hotel Savitri Country is a 15-minute drive from the vibrant Malioboro Street. It offers air-conditioned rooms with a private balcony.","Yogyakarta


Show on map",7.8,Good,13 reviews
Fernasya House,"Set in Yogyakarta, 3.3 km from Malioboro Mall, Fernasya House offers accommodation with an outdoor swimming pool, free WiFi, a shared kitchen, and a shared lounge.","Yogyakarta


Show on map",9.1,Superb,10 reviews
Grand Tjokro Yogyakarta,"Grand Tjokro Yogyakarta offers modern accommodation with an outdoor pool, restaurant and a 24-hour front desk. Its elegant rooms overlook the city and feature a private bathroom.","Catur Tunggal, Yogyakarta


Show on map",7.4,Good,83 reviews
RedDoorz near XT Square 2,"Situated conveniently in the Umbulharjo district of Yogyakarta, RedDoorz near XT Square 2 is set 3.8 km from Scientific Park, 3.9 km from Sultan's Palace and 3.9 km from Fort Vredeburg.","Umbulharjo, Yogyakarta


Show on map",6.5,Review score,36 reviews
OYO 3935 Artha Ambarukmo Exclusive,OYO 3935 Artha Ambarukmo Exclusive features rooms in Yogyakarta. This property is situated a short distance from attractions such as Affandi Museum.,"Catur Tunggal, Yogyakarta


Show on map",8.4,Very good,3 reviews
The Cabin Tugu Hostel,"Boasting a garden, terrace and views of city, The Cabin Tugu Hostel is situated in Yogyakarta, 1.1 km from Malioboro Mall.","Gedongtengen, Yogyakarta


Show on map",8.5,Very good,48 reviews
Java Villas Boutique Hotel & Resto,"Java Villas Boutique Hotel & Resto has a restaurant, bar, a shared lounge and garden in Yogyakarta. An indoor swimming pool and a car rental service are available for guests.","Mergangsan, Yogyakarta


Show on map",9.0,Superb,419 reviews
RedDoorz Syariah near Malioboro Mall,"Located within 1 km of Malioboro Mall and 1.1 km of Scientific Park, RedDoorz Syariah near Malioboro Mall provides rooms with air conditioning and a private bathroom in Yogyakarta.","Danurejan, Yogyakarta


Show on map",6.0,Review score,87 reviews
Hotel Bakti,"Well situated in the Danurejan district of Yogyakarta, Hotel Bakti is set 1.3 km from Scientific Park, 1.4 km from Sultan's Palace and 1.6 km from Fort Vredeburg.","Danurejan, Yogyakarta


Show on map",5.0,Review score,6 reviews
Royal Darmo Malioboro,"Boasting an outdoor pool and a spa centre, Royal Darmo Malioboro offers accommodation in Yogyakarta. To sample local dishes and drinks, you can head over to the on-site restaurant.","Gedongtengen, Yogyakarta


Show on map",8.0,Very good,48 reviews
The Sixth Room,"The Sixth Room, a property with an outdoor swimming pool, is set in Yogyakarta, 6 km from Malioboro Mall, 7 km from Fort Vredeburg, as well as 7 km from Yogyakarta Presidential Palace.","Catur Tunggal, Yogyakarta


Show on map",9.5,Exceptional,5 reviews
RedDoorz near Malioboro Mall 2,"Situated within less than 1 km of Malioboro Mall and a 12-minute walk of Fort Vredeburg, RedDoorz near Malioboro Mall 2 features rooms with air conditioning and a private bathroom in Yogyakarta.","Danurejan, Yogyakarta


Show on map",7.6,Good,53 reviews
Sartika Hotel Prawirotaman,"Situated 2.7 km from Scientific Park, Sartika Hotel Prawirotaman offers a shared lounge, a garden and air-conditioned accommodation with a balcony and free WiFi. The homestay offers a terrace.","Mergangsan, Yogyakarta


Show on map",8.3,Very good,181 reviews
Omah Teras Bata Guesthouse,"Situated in Yogyakarta, 8 km from Museum Sonobudoyo and 8 km from Yogyakarta Presidential Palace, Omah Teras Bata Guesthouse features accommodation with free WiFi, air conditioning and access to a...","Yogyakarta


Show on map",9.1,Superb,14 reviews
OYO 3945 Bale Tardian Syariah,"Set in Yogyakarta, 3.3 km from Tugu Monument, OYO 3945 Bale Tardian Syariah features views of the pool.","Sinduadi, Yogyakarta


Show on map",7.9,Good,10 reviews
RedDoorz Plus @ Taman Siswa 3,"Well located in the Mergangsan district of Yogyakarta, RedDoorz Plus @ Taman Siswa 3 is located 1.4 km from Scientific Park, 1.4 km from Sultan's Palace and 1.7 km from Fort Vredeburg.","Mergangsan, Yogyakarta


Show on map",7.8,Good,16 reviews
M Stay Guest House Jogja,"Set in Yogyakarta, 6 km from Tugu Monument and 9 km from Malioboro Mall, M Stay Guest House Jogja offers accommodation with free WiFi, air conditioning, a shared lounge and a garden.","Catur Tunggal, Yogyakarta


Show on map",8.8,Fabulous,42 reviews
Omah Manis,"Set in Yogyakarta, 2.7 km from Scientific Park, Omah Manis offers accommodation with a fitness centre, free private parking and a shared lounge.","Mergangsan, Yogyakarta


Show on map",9.0,Superb,48 reviews
Omah Manis,"Set in Yogyakarta, 2.7 km from Scientific Park, Omah Manis offers accommodation with a fitness centre, free private parking and a shared lounge.","Mergangsan, Yogyakarta


Show on map",9.0,Superb,48 reviews
Laxston Hotel,"Offering a restaurant, Laxston Hotel is located a 10-minute drive from the famous Malioboro Street. Free WiFi access is available throughout the property.","Jetis, Yogyakarta


Show on map",7.7,Good,145 reviews
Madina Inn Hotel,"Featuring a garden, Madina Inn Hotel is located in Yogyakarta in the Yogyakarta Province region, 1.2 km from Scientific Park and 1.3 km from Sultan's Palace.","Mergangsan, Yogyakarta


Show on map",9.1,Superb,8 reviews
Uniq Hotel,"Located in Yogyakarta, 3 km from Malioboro Mall, Uniq Hotel provides accommodation with a restaurant, free private parking, a bar and a shared lounge.","Tegalrejo, Yogyakarta


Show on map",7.3,Good,10 reviews
Delta Homestay,"Surrounded by tropical greenery, Delta Homestay features air-conditioned rooms with Javanese-style terraces. Guests can make use of the outdoor swimming pool and free Wi-Fi access.","Mergangsan, Yogyakarta


Show on map",8.1,Very good,133 reviews
Alam Jogja Resort,"Situated in Yogyakarta, this resort features garden facing rooms with traditional Javanese furnishings.","Yogyakarta


Show on map",7.7,Good,4 reviews
Banana Homestay Prawirodirjan,"Offering a garden and garden view, Banana Homestay Prawirodirjan is situated in Yogyakarta, 600 metres from Scientific Park and 700 metres from Sultan's Palace.","Gondomanan, Yogyakarta


Show on map",8.1,Very good,16 reviews
Tara Hotel Yogyakarta,"Featuring simple design and cosy atmosphere, Tara Hotel offers a comfortable accommodation in Yogyakarta. The hotel provides free WiFi throughout the property.","Sinduadi, Yogyakarta


Show on map",8.0,Very good,91 reviews
Villa Blue Steps,"Featuring a year-round outdoor pool and overlooking rice fields and green hills, Villa Blue Steps is a detached villa situated in Yogyakarta in the Yogyakarta Province Region.","Yogyakarta


Show on map",9.3,Superb,26 reviews
Grand Kangen Hotel Urip Sumoharjo,"Grand Kangen Hotel Urip Sumoharjo boasts an outdoor pool, meeting facilities and a business centre.","Gondokusuman, Yogyakarta


Show on map",7.6,Good,85 reviews
City Stay Homestay Jogja,"Located in Yogyakarta, 2.9 km from Yogyakarta Presidential Palace, City Stay Homestay Jogja provides a living room with a flat-screen TV.","Tegalrejo, Yogyakarta


Show on map",8.7,Fabulous,3 reviews
Agung Inn,"Agung Inn is located in Yogyakarta Town, a 5-minute drive from the Sultan Palace. It features free Wi-Fi, free parking and non-smoking rooms with a flat-screen TV.","Mergangsan, Yogyakarta


Show on map",9.1,Superb,151 reviews
Naima Jiwo,"Located in Yogyakarta, within 2 km of Scientific Park and 2 km of Sultan's Palace, Naima Jiwo provides accommodation with a garden and free WiFi as well as free private parking for guests who drive.","Mergangsan, Yogyakarta


Show on map",8.7,Fabulous,3 reviews
Metro Malioboro Living,"Metro Malioboro Living offers accommodation in Yogyakarta, close to the city centre. Every room has a flat-screen TV. Certain rooms feature a seating area to relax in after a busy day.","Danurejan, Yogyakarta


Show on map",7.9,Good,178 reviews
Pojok Pas,"Featuring a shared lounge, garden and views of garden, Pojok Pas is located in Yogyakarta, 2.2 km from Scientific Park.","Mergangsan, Yogyakarta


Show on map",8.7,Fabulous,233 reviews
Rejeki Homestay Malioboro,"Set in Yogyakarta, 400 metres from Malioboro Mall, Rejeki Homestay Malioboro offers accommodation with free WiFi and free private parking.","Gedongtengen, Yogyakarta


Show on map",7.3,Good,9 reviews
Grand Marto Hotel,"Offering a 24-hour front desk and 24-hour Indonesian food room service, Grand Marto is located a 10-minute drive from Malioboro Street. Free WiFi access is available.","Mergangsan, Yogyakarta


Show on map",8.4,Very good,138 reviews
RedDoorz near Terminal Wates Kulon Progo,"Located 26 km from Museum Sonobudoyo, RedDoorz near Terminal Wates Kulon Progo provides rooms with air conditioning in Yogyakarta.","Yogyakarta


Show on map",7.2,Good,4 reviews
Mitu Pugeran Homestay,"Mitu Pugeran Homestay, a property with a shared lounge and a terrace, is set in Yogyakarta, 2.7 km from Museum Sonobudoyo, 3 km from Scientific Park, as well as 3 km from Sultan's Palace.","Mantrijeron, Yogyakarta


Show on map",8.3,Very good,29 reviews
The Westlake Hotel & Resort Yogyakarta,"Offering an outdoor pool and barbecue, The Westlake Hotel & Resort Yogyakarta is situated in Yogyakarta in the Yogyakarta Province Region.","Mlati, Yogyakarta


Show on map",8.6,Fabulous,85 reviews
OYO 1046 Omah Pathok Near RS Ludira Husada Tama,OYO 1046 Omah Pathok Near RS Ludira Husada Tama features air-conditioned rooms with satellite flat-screen TV in the Ngampilan district of Yogyakarta.,"Ngampilan, Yogyakarta


Show on map",9.1,Superb,67 reviews
Hotel Olympic Jogja,"Strategically located at Mergangsan, 1.8 km from Scientific Park, Hotel Olympic Jogja offers cosy guestrooms and an on-site restaurant. Free WiFi access is available throughout.","Mergangsan, Yogyakarta


Show on map",7.6,Good,37 reviews
Kampung Lawasan Heritage Cottage,"Set in Yogyakarta, 5 km from Tugu Monument, Kampung Lawasan Heritage Cottage offers accommodation with a restaurant, free private parking, an outdoor swimming pool and a shared lounge.","Catur Tunggal, Yogyakarta


Show on map",8.8,Fabulous,32 reviews
de Laxston Hotel Jogja by AZANA,"Boasting smart and modern look, de Laxston Hotel Jogja by AZANA offers a comfortable accommodation in Yogyakarta, 1.3 km from Tugu Monument.","Gondokusuman, Yogyakarta


Show on map",7.2,Good,51 reviews
Rosella Cottage - Homestay - Kitchen Yogyakarta,"Located amidst rice fields and farmland in Yogyakarta, 5 km from Tugu Monument, Rosella Cottage boasts a restaurant and a terrace. Free WiFi is provided and free private parking is available on site.","Yogyakarta


Show on map",9.0,Superb,33 reviews
Palem Kipas Homestay,"Set in Yogyakarta, 2.7 km from Scientific Park and 2.8 km from Sultan's Palace, Palem Kipas Homestay offers accommodation with free WiFi, air conditioning, a shared lounge and a garden.","Mantrijeron, Yogyakarta


Show on map",9.5,Exceptional,62 reviews
OYO 90033 DeHome Family,"Located in Yogyakarta, 6 km from Tugu Monument, OYO 90033 DeHome Family provides rooms with air conditioning.","Yogyakarta


Show on map",9.4,Superb,55 reviews
LPP Convention Hotel Demangan,"LPP Convention Hotel Demangan is adjacent to the Yogyakarta–Solo highway. A 15-minute drive from Saphir Square and Galeria Mall, it offers free Wi-Fi and free parking.","Catur Tunggal, Yogyakarta


Show on map",7.3,Good,6 reviews
Arrayan Malioboro Syariah,"Set in Yogyakarta, less than 1 km from Yogyakarta Presidential Palace, Arrayan Malioboro Syariah offers accommodation with a restaurant, free private parking, a shared lounge and a garden.","Ngampilan, Yogyakarta


Show on map",8.4,Very good,160 reviews
favehotel Malioboro - Yogyakarta,favehotel Malioboro - Yogyakarta is located 500 metres from Tugu Monument and 1.1 km from Malioboro Street.,"Gondokusuman, Yogyakarta


Show on map",8.3,Very good,189 reviews
Sky Hotel,"Located in Yogyakarta, 1.7 km from Tugu Monument, Sky Hotel provides accommodation with free WiFi and free private parking.","Danurejan, Yogyakarta


Show on map",7.9,Good,19 reviews
Bladok Hotel & Restaurant,"Set in Yogyakarta, within 1.1 km of Malioboro Mall and 1.9 km of Yogyakarta Presidential Palace, Bladok Hotel & Restaurant offers accommodation with an outdoor swimming pool and free WiFi as well as...","Gedongtengen, Yogyakarta


Show on map",8.4,Very good,181 reviews
Trava House,TRAVA house offers accommodation in Yogyakarta. Free high-speed WiFi is available. Guests enjoy an outdoor dipping pool. Each room has a shared bathroom with shower facilities.,"Mantrijeron, Yogyakarta


Show on map",9.3,Superb,205 reviews
The Westlake Hotel & Resort Yogyakarta,"Offering an outdoor pool and barbecue, The Westlake Hotel & Resort Yogyakarta is situated in Yogyakarta in the Yogyakarta Province Region.","Mlati, Yogyakarta


Show on map",8.6,Fabulous,85 reviews
Safa Homestay,"A 5-minute drive from Adisucipto International Airport, Safa Homestay features fully furnished apartments with a small garden and free on-site parking. WiFi is accessible for free in all areas.","Yogyakarta


Show on map",8.6,Fabulous,106 reviews
Naima Jiwo,"Located in Yogyakarta, within 2 km of Scientific Park and 2 km of Sultan's Palace, Naima Jiwo provides accommodation with a garden and free WiFi as well as free private parking for guests who drive.","Mergangsan, Yogyakarta


Show on map",8.7,Fabulous,3 reviews
Rabbani Family Homestay,"Situated in Yogyakarta, 9 km from Tugu Monument, Rabbani Family Homestay features accommodation with a shared lounge, free WiFi, a shared kitchen, and room service.","Yogyakarta


Show on map",8.9,Fabulous,42 reviews
@HOM Premiere Timoho,"Attractively located in the Umbulharjo district of Yogyakarta, @HOM Premiere Timoho is situated 3.1 km from Scientific Park, 3.2 km from Sultan's Palace and 3.4 km from Fort Vredeburg.","Umbulharjo, Yogyakarta


Show on map",8.5,Very good,22 reviews
Grand Serela Yogyakarta by KAGUM Hotels,Grand Serela Yogyakarta by KAGUM Hotels offers an elegant accommodation in Yogyakarta. Guests can enjoy the on-site restaurant serving delicious local and international dishes.,"Sinduadi, Yogyakarta


Show on map",7.9,Good,24 reviews
Ros-In Hotel,"Ros-In Hotel is located in Yogyakarta, a short 20-mintue drive from Adisucipto Airport. The cosy hotel offers a coffee shop, free parking on site and free Wi-Fi throughout the hotel.","Yogyakarta


Show on map",7.4,Good,35 reviews
Pyrenees Jogja,"Centrally located inYogyakarta's business and market district, Pyrenees Jogja offers simple, modern rooms just a 1-minute walk away from Malioboro. Free Wi-Fi is provided.","Gedongtengen, Yogyakarta


Show on map",7.5,Good,118 reviews
RedDoorz near Sleman City Hall 2,"Located within 7 km of Tugu Monument and 8 km of Malioboro Mall, RedDoorz near Sleman City Hall 2 provides rooms in Yogyakarta.","Yogyakarta


Show on map",8.0,Very good,7 reviews
Dipan Guest House Yogyakarta,"Located in Yogyakarta, 10 km from Tugu Monument and 12 km from Malioboro Mall, Dipan Guest House Yogyakarta provides accommodation with free WiFi, air conditioning, a shared lounge and a garden.","Yogyakarta


Show on map",9.2,Superb,11 reviews
Hotel Heryon,"Situated in Yogyakarta, within 2.7 km of Scientific Park and 2.8 km of Sultan's Palace, Hotel Heryon features accommodation with free bikes and free WiFi as well as free private parking for guests who...","Umbulharjo, Yogyakarta


Show on map",7.2,Good,8 reviews
Hotel Heryon,"Situated in Yogyakarta, within 2.7 km of Scientific Park and 2.8 km of Sultan's Palace, Hotel Heryon features accommodation with free bikes and free WiFi as well as free private parking for guests who...","Umbulharjo, Yogyakarta


Show on map",7.2,Good,8 reviews
Emersia Malioboro Hotel,"Located in the heart of Yogyakarta, Emersia Malioboro Hotel is just 500 metres from the famous Malioboro shopping street.","Gedongtengen, Yogyakarta


Show on map",7.9,Good,296 reviews
Wisma Ary's,"Wisma Ary's is located in central Yogyakarta, a 20-minute drive from Yogyakarta International Airport. It offers Batik courses and features an exhibition space for artists. A restaurant is available.","Mantrijeron, Yogyakarta


Show on map",8.2,Very good,127 reviews
Villa Bougenville,"Surrounded by greenery, Villa Bougenville offers a relaxing stay in its modern villa within a tranquil residential area, 2 km from the vibrant Malioboro Street.","Mantrijeron, Yogyakarta


Show on map",9.1,Superb,37 reviews
Duta Boutique Villa,"Nestled in tropical gardens, Duta Boutique Villa is a 15-minute drive from Malioboro Street and Sultan Palace. It features air-conditioned rooms with free Wi-Fi access.","Mergangsan, Yogyakarta


Show on map",8.7,Fabulous,80 reviews
Peti Mas Hotel,"Peti Mas Hotel is located in Yogyakarta City Centre, a 5-minute drive from Tugu Railway Station. It offers free parking and free Wi-Fi in public areas. A pool is available.","Gedongtengen, Yogyakarta


Show on map",7.9,Good,282 reviews
Gowes House Yogyakarta - Malioboro,"In the Gedongtengen district of Yogyakarta, close to Malioboro Mall, Gowes House Yogyakarta - Malioboro features a garden and a washing machine.","Gedongtengen, Yogyakarta


Show on map",9.2,Superb,4 reviews
Otu Hostel By Ostic,"Otu Hostel By Ostic in Yogyakarta provides adults-only accommodation with an outdoor swimming pool, a shared lounge and a terrace.","Mergangsan, Yogyakarta


Show on map",9.4,Superb,582 reviews
RedDoorz near Gejayan 3,"Ideally situated in the Catur Tunggal district of Yogyakarta, RedDoorz near Gejayan 3 is situated 2.3 km from Tugu Monument, 3.7 km from Malioboro Mall and 4 km from Scientific Park.","Catur Tunggal, Yogyakarta


Show on map",8.9,Fabulous,7 reviews
RedDoorz near Jogja City Mall 4,"2.9 km from Tugu Monument, RedDoorz near Jogja City Mall 4 is situated in Yogyakarta and provides rooms with free WiFi. The property is around 3.7 km from Malioboro Mall and 4.3 km from Fort...","Sinduadi, Yogyakarta


Show on map",8.4,Very good,5 reviews
Villa Sunset Jogjakarta,"Boasting an outdoor swimming pool and a shared kitchen, Villa Sunset Jogjakarta is attractively located in Yogyakarta, 14 km from Museum Sonobudoyo and 14 km from Scientific Park.","Yogyakarta


Show on map",8.6,Fabulous,9 reviews
OYO 1473 Omah Tentrem Syariah,"Located 6 km from Tugu Monument, OYO 1473 Omah Tentrem Syariah provides rooms with air conditioning in Yogyakarta.","Yogyakarta


Show on map",8.8,Fabulous,20 reviews
The LaWang Yogya,The LaWang Yogya features air-conditioned rooms with cable flat-screen TV in the Danurejan district of Yogyakarta.,"Danurejan, Yogyakarta


Show on map",8.7,Fabulous,45 reviews
Allstay Hotel Yogyakarta,"Set in the Catur Tunggal district in Yogyakarta, Allstay Hotel Yogyakarta offers a trendy accommodation with minimalist design and a touch of traditional elements.","Catur Tunggal, Yogyakarta


Show on map",7.5,Good,73 reviews
Cavinton Hotel Yogyakarta by Tritama Hospitality,"Cavinton Hotel Yogyakarta by Tritama Hospitality is located in Yogyakarta, a 10-minute drive from Sultan Palace. It offers free Wi-Fi in all areas and on-site free parking.","Ngampilan, Yogyakarta


Show on map",8.6,Fabulous,36 reviews
Taman Yuwono Heritage Malioboro,Taman Yuwono Heritage Homestay enjoys a strategic location a 5-minute stroll from Malioboro Street. It features a fully-furnished house with air conditioning and free Wi-Fi.,"Gedongtengen, Yogyakarta


Show on map",8.5,Very good,82 reviews
Andelis Homestay,"A 15-minute drive from Malioboro Street, Andelis Homestay houses bright rooms with private balconies overlooking the greenery. Guests enjoy free Wi-Fi throughout the building and free on-site parking....","Yogyakarta


Show on map",9.0,Superb,82 reviews
Full House at The Omah Alun Alun Kidul,"Situated just 1.4 km from Museum Sonobudoyo, Full House at The Omah Alun Alun Kidul features accommodation in Yogyakarta with access to a shared lounge, a garden, as well as a shared kitchen.","Kraton, Yogyakarta


Show on map",8.8,Fabulous,15 reviews
The Capsule Malioboro,"Situated in Yogyakarta, 1.4 km from Malioboro Mall, The Capsule Malioboro features accommodation with a restaurant, free private parking, a shared lounge and a garden.","Gedongtengen, Yogyakarta


Show on map",8.4,Very good,50 reviews
RedDoorz Plus @ Jalan Damai 2,"Situated in Yogyakarta, 9 km from Tugu Monument, RedDoorz Plus @ Jalan Damai 2 features accommodation with free WiFi and free private parking.","Yogyakarta


Show on map",6.8,Review score,19 reviews
Srikandi Baru Inn,"Situated in Yogyakarta, within 4.4 km of Scientific Park and 4.4 km of Sultan's Palace, Srikandi Baru Inn features accommodation with a garden and free WiFi throughout the property as well as free...","Yogyakarta


Show on map",8.2,Very good,31 reviews
RedDoorz @ Hotel Citra Indah,"OYO 561 Hotel Citra Indah is located in Yogyakarta, a 5-minute drive from the various shopping outlets along Malioboro Street.","Gedongtengen, Yogyakarta


Show on map",6.5,Review score,93 reviews
Yogyakarta BnB,"Situated 600 metres from Yogyakarta Presidential Palace, Yogyakarta BnB features accommodation with a garden, a terrace and a shared kitchen for your convenience.","Gondomanan, Yogyakarta


Show on map",9.2,Superb,528 reviews
Pandanaran Prawirotaman Yogyakarta,"Located just a 10-minute drive to the famed Malioboro Street in Yogyakarta, Pandanaran Prawirotaman Yogyakarta offers a modern and cosy stay featuring an outdoor swimming pool, free WiFi access in all...","Mergangsan, Yogyakarta


Show on map",7.7,Good,30 reviews
University Club (UC) Hotel UGM,"Located in Yogyakarta, 1.8 km from Tugu Monument, University Club (UC) Hotel UGM provides accommodation with a restaurant, free private parking, a shared lounge and a garden.","Catur Tunggal, Yogyakarta


Show on map",7.6,Good,30 reviews
Omah Njonja Bed & Brasserie,"Omah Njonja Bed & Brasserie is situated in Yogyakarta, 3.5 km from Tugu Monument. Each room at this guest house is air conditioned and is equipped with a flat-screen TV with cable channels.","Yogyakarta


Show on map",8.3,Very good,35 reviews
RedDoorz Syariah near Taman Pelangi Monjali,"Set in Yogyakarta, 5 km from Tugu Monument, RedDoorz Syariah near Taman Pelangi Monjali offers accommodation with free WiFi and free private parking.","Yogyakarta


Show on map",8.7,Fabulous,17 reviews
Summer Season Boutique Hotel,"Just a 5-minute walk from Malioboro Street’s many souvenir shops, Summer Season Hotel provides cosy accommodation with en suite bathrooms and free Wi-Fi in public areas. There is a restaurant on site....","Gedongtengen, Yogyakarta


Show on map",6.4,Review score,15 reviews
Homestay HD Inn,"Situated in Yogyakarta in the Yogyakarta Province region, with Scientific Park and Sultan's Palace nearby, Homestay HD Inn features accommodation with free WiFi and free private parking.","Gondomanan, Yogyakarta


Show on map",7.1,Good,60 reviews
OYO 1683 Hotel Musafira Syariah,"OYO 1683 Hotel Musafira Syariah is set in Yogyakarta, 1.6 km from Scientific Park, and provides free WiFi throughout the property.","Mergangsan, Yogyakarta


Show on map",8.0,Very good,22 reviews
Villa Kayu Yogyakarta,"Located 9 km from Museum Sonobudoyo, Villa Kayu Yogyakarta provides accommodation with a restaurant, a garden and a 24-hour front desk for your convenience.","Yogyakarta


Show on map",9.4,Superb,11 reviews
Ayaartta Hotel Malioboro,"Set in Yogyakarta, 700 metres from Museum Sonobudoyo, Ayaartta Hotel Malioboro features an outdoor pool. Guests can enjoy the on-site restaurant.","Ngampilan, Yogyakarta


Show on map",8.3,Very good,336 reviews
OYO Life 2348 Omah Lasaro Exclusive,"Set in Yogyakarta, 7 km from Malioboro Mall, OYO Life 2348 Omah Lasaro Exclusive offers accommodation with free WiFi and free private parking.","Yogyakarta


Show on map",7.8,Good,5 reviews
Paku Mas Hotel,"Set in Yogyakarta, 3.2 km from Tugu Monument, Paku Mas Hotel offers accommodation with a restaurant, free private parking, an outdoor swimming pool and a shared lounge.","Catur Tunggal, Yogyakarta


Show on map",8.4,Very good,175 reviews
The LaWang Yogya,The LaWang Yogya features air-conditioned rooms with cable flat-screen TV in the Danurejan district of Yogyakarta.,"Danurejan, Yogyakarta


Show on map",8.7,Fabulous,45 reviews
Mi Casa Es Tu Casa,"Mi Casa Estu Casa is set in Yogyakarta, 1.9 km from Museum Sonobudoyo and 2.1 km from Sultan's Palace. Guests can enjoy the on-site restaurant. Free private parking is available on site.","Mantrijeron, Yogyakarta


Show on map",7.1,Good,4 reviews
The Cabin Hotel,"The Cabin Hotel is strategically located a 5-minute walk from Malioboro Street. Providing free Wi-Fi in public areas, it also has a convenience store on site.","Gedongtengen, Yogyakarta


Show on map",7.9,Good,53 reviews
OYO 194 Hotel Sapta Gria Near RS Bethesda,"Offering air-conditioned rooms in the Gondokusuman district of Yogyakarta, OYO 194 Hotel Sapta Gria Near RS Bethesda is less than 1 km from Tugu Monument.","Gondokusuman, Yogyakarta


Show on map",7.6,Good,70 reviews
Argya Guesthouse,"Situated in Yogyakarta, within 1.7 km of Tugu Monument and 3.8 km of Malioboro Mall, Argya Guesthouse features accommodation with a terrace and free WiFi as well as free private parking for guests who...","Gondokusuman, Yogyakarta


Show on map",8.9,Fabulous,82 reviews
Nariska Suite Homestay,"Located in Yogyakarta, 7 km from Tugu Monument, Nariska Suite Homestay provides accommodation with a shared lounge, free WiFi, a 24-hour front desk, and a shared kitchen.","Yogyakarta


Show on map",9.1,Superb,7 reviews
OYO 417 Bama Guesthouse Near RSUP Dr Sardjito,"Offering air-conditioned rooms in the Mlati district of Yogyakarta, OYO 417 Bama Guesthouse Near RSUP Dr Sardjito is 3.7 km from Tugu Monument.","Sinduadi, Yogyakarta


Show on map",7.9,Good,31 reviews
